button press for z-direction,X Payload Deflection (mm),X Crane Position (mm),X Actual Velocity (mm/sec),Z-axis actual position,button press for x-direction,Time Y-dir (sec),Y Payload Deflection (mm),Y Crane Position (mm),Y Actual Velocity (mm/sec),Z-axis actual velocity,button press for y direction
0,-41,-382,0,1729,0,0,11,-595,0,0,0
0,-41,-382,0,1729,0,0.054144,11,-595,0,0,0
0,-41,-382,0,1729,0,0.101946,11,-595,0,0,0
0,-41,-382,0,1729,0,0.152883,11,-595,0,0,0
0,-41,-382,0,1729,0,0.204222,11,-595,0,0,0
0,-41,-382,0,1729,0,0.254869,10,-595,0,0,0
0,-41,-382,0,1729,0,0.30591,10,-595,0,0,0
0,-41,-382,0,1729,0,0.357232,10,-595,0,0,0
0,-39,-382,0,1729,0,0.407902,10,-595,0,0,0
0,-39,-382,0,1729,0,0.458941,11,-595,0,0,0
0,-38,-382,0,1729,0,0.510174,12,-595,0,0,0
0,-38,-382,0,1729,0,0.560968,11,-595,0,0,0
0,-38,-382,0,1729,0,0.611889,11,-595,0,0,0
0,-39,-382,0,1729,0,0.663155,11,-595,0,0,0
0,-39,-382,0,1729,0,0.713907,10,-595,0,0,0
0,-39,-382,0,1729,0,0.765,10,-595,0,0,0
0,-39,-382,0,1729,0,0.816295,10,-595,0,0,0
0,-39,-382,0,1729,0,0.867277,10,-595,0,0,0
0,-39,-382,0,1729,0,0.918081,8,-595,0,0,0
0,-39,-382,0,1729,0,0.969201,8,-595,0,0,0
0,-41,-382,0,1729,0,1.020075,8,-595,0,0,0
0,-41,-382,0,1729,0,1.070998,7,-595,0,0,0
0,-41,-382,0,1729,0,1.122372,7,-595,0,0,0
0,-42,-382,0,1729,0,1.224071,7,-595,-2,0,0
0,-42,-382,0,1729,0,1.224071,6,-595,-2,0,0
0,-42,-382,0,1729,0,1.27537,6,-595,-2,0,0
0,-42,-382,0,1729,0,1.32618,6,-595,-2,0,0
0,-42,-382,0,1729,0,1.377117,6,-595,-2,0,0
0,-43,-382,0,1729,0,1.428448,6,-595,-2,0,0
0,-43,-382,0,1729,0,1.479172,6,-595,-2,0,0
0,-43,-382,0,1729,0,1.53017,6,-595,-2,0,0
0,-43,-382,0,1729,0,1.581411,6,-596,-2,0,0
0,-43,-382,0,1729,0,1.632359,6,-596,-2,0,0
0,-43,-382,0,1729,0,1.683206,6,-596,-4,0,0
0,-43,-382,0,1729,0,1.734483,6,-596,-4,0,0
0,-43,-382,0,1729,0,1.785225,6,-596,-4,0,0
0,-43,-382,0,1729,0,1.836178,7,-597,-6,0,0
0,-43,-382,0,1729,0,1.887542,7,-597,-8,0,0
0,-43,-382,0,1729,0,1.938359,7,-597,-10,0,0
0,-43,-382,0,1729,0,1.989368,7,-598,-12,0,0
0,-43,-382,0,1729,0,2.04058,7,-599,-14,0,0
0,-43,-382,0,1729,0,2.091348,8,-600,-16,0,0
0,-43,-382,0,1729,0,2.142387,8,-600,-18,0,0
0,-43,-382,0,1729,0,2.193559,8,-601,-20,0,0
0,-42,-382,0,1729,0,2.244381,10,-603,-22,0,0
0,-42,-382,0,1729,0,2.295396,10,-604,-22,0,0
0,-42,-382,0,1729,0,2.346649,11,-605,-24,0,0
0,-41,-382,0,1729,0,2.397467,11,-606,-26,0,0
0,-41,-382,0,1729,0,2.448403,11,-607,-26,0,0
0,-41,-382,0,1729,0,2.499646,11,-609,-26,0,0
0,-41,-382,0,1729,0,2.550439,12,-610,-26,0,0
0,-41,-382,0,1729,0,2.601439,12,-611,-24,0,0
0,-39,-382,0,1729,0,2.65275,12,-613,-26,0,0
0,-39,-382,1,1729,0,2.703467,12,-614,-24,0,0
0,-39,-382,2,1729,0,2.754508,12,-615,-24,0,0
0,-39,-382,3,1729,0,2.805673,12,-616,-24,0,0
0,-39,-382,4,1729,0,2.856448,13,-618,-24,0,0
0,-38,-381,5,1729,0,2.907486,13,-619,-22,0,0
0,-38,-381,6,1729,0,2.958792,13,-620,-22,0,0
0,-38,-381,7,1729,0,3.009521,13,-621,-20,0,0
0,-38,-380,8,1729,0,3.060792,13,-622,-18,0,0
